    han wo end tk frnd rhengi may be coz kuch b ho wo ek dusre ka sth ni chordti,1,0,0,0,0
" haha ek or problem
meri class mai larkiyaan nahi hain thori bhejdo:p",1,1,1,0,1
" kuchh log ek roz jo bichad jate hain
woh hazaron ke aane se milte nahin.  ",2,0,1,0,0
" india ke sabse bade super stars apna ego bhula ke ek dusre ke gale mil rahe hai..
#to humari akkad kiss baat ki??
#srkianssal…",1,0,0,0,0
 bhaiya life m koi saat dene vala nhi h isiliye ek umid s apko bolta hu.shayed kapil bhaiya life m thoda saat dede plz help me,2,0,0,0,1
"  
hahaha haan koi pagal hi hoga jo kare ga.",1,0,0,0,1
" aankhon ko bhi le dooba ye dil ka
pagal-pan... aate jaate jo milta hai
tum-sa hi lagta hai...  ",1,0,0,0,0
"  
jin larkiyon ko yaqeen ho jaye k unhein ik ka rishta nai mil sakta woh marvi memon ki tara pagal ho jati hen",2,0,0,0,0
 aaeee pagal hai kiya bhai,2,0,0,0,0
 mazak tha na pagal ok is ok..😉😉,1,2,0,0,0
" yaha kiya tu sab pagal ho jange uske peche !
mera hath us pe he aur tumhare liye rub kr raha hon",1,0,0,0,0
 ye sale aap wale to ekdam se pagal hai bhai.photoshop ki dukaan khol hai.kejri haar gya to ye jihad suru kar denge.,2,0,0,0,0
 lol this is what we call #love ;) pagal hai!! :d,1,2,2,0,1
  sabhi mujhy pagal boltay hain :),1,1,1,0,0
 nhi pagal teacher hmare baap ki jga hota hai..but his name is zain osmaan and he is soo cute..and i'm his fav student haha,1,0,0,0,1
kisi ki chahat mein itne pagal na hona. ho sakta hy wo tumhari manzil na ho. us ki muskurahat ko izhar-e-mohabbat... ,1,0,1,0,1
    yeah..all those tweets making me super happy. .proud to be his pagal sonuh…,1,0,0,0,0
 out hai pagal.. u think he is high wid marijuana :p :d,1,2,2,0,0
 pagal sojahaoo abb :d,1,1,1,0,0
   pagal ho :( she is not of that kind yaar :( and tu reply kyun nahi kar raha mere mentions ko :(,2,0,3,0,0
 kya karun is pagal larki ka mn 😄,1,1,0,0,0
  pagal pagal pagal :p,1,1,1,0,0
"hum teri yadon me khoye rahte hai.....

log hme pagal deewana  kahte hai.....

virhan ki agnee me pal pal tapti... ",2,0,1,0,0
" ptawari to pagal hogae honge :d ak to #gujranwalastandswithik uper se #inqilabinbhakkar  :d waoo amazing (: 
#ikandtuqbestcomb…",1,2,2,0,0
 hahaha issi liyay bio aysi rakhi hai .. kay sirf pagal log follow karain xd ,1,0,0,0,1
