 #afrikaansisgroot2014 wat a show!!! wow is al wat ek kan se!!! super trots op afrikaans te wees!! groter as laas jaar!!,3,0,0,0,0
ek phuppo ka accident hua aj to dusri khala ki birthday start hogaye.,0,0,0,0,0
rt :       jus piece all ek n nr interviews,0,0,0,0,0
rt : we made all the way to the playoffs &amp; all through the playoffs. i'm so proud of ek,3,0,0,0,0
    han wo end tk frnd rhengi may be coz kuch b ho wo ek dusre ka sth ni chordti,1,0,0,0,0
 ya yo tengo ek mio jojojo,3,0,0,0,0
"rt : kabinedenbranslara 40binekatama
böyle küçük ek atamalarla bizi susturamazlar.",3,0,0,0,0
good morning! seminar/ek na #studentcongress #jpia #r4,3,0,0,0,0
"rt : class of 2015 took everyone by storm this year. great football season ek. once a falcon, always a falcon. #ekfootball #ekpr…",3,0,0,0,0
# wanner sien ek jou weer,3,0,0,0,0
vader ek gee misdaad aan u. vader ons bind alle misdade en vra u persoonlike beskerming asb. geen misdadiger mag... ,3,0,1,0,0
rt : bikaç binlik ek atamayla geçiştirilmek istemiyoruz..beklediğimize değsin kabinedenbranslara 40binekatama  …,3,0,0,0,0
"kabinedenbranslara 40binekatama
böyle küçük ek atamalarla bizi susturamazlar.",3,0,0,0,0
"rt : this is not a tweet, this is art and you're a fart! 

rt : meri khamoshi-e-musalsal ko,
ek musalsal gila sam…",3,0,0,0,0
rt : nonm ek fanm ka prend pié yo ansanm c le bon! 😁 #cms,3,1,0,0,0
" haha ek or problem
meri class mai larkiyaan nahi hain thori bhejdo:p",1,1,1,0,1
"pazartesi günü sirkeci ptt Önünde açıklama yapacağız

ptt sirkeci ek hizmet binası restorasyonunda çalışan ve... ",3,0,1,0,0
rt :  bhai pranam... ek se badh ke ek dekhe par tum jaisa nahi....,0,0,0,0,0
"""ai hoekom moet ek so suffer?"", nou so gat oor kop verlief op  na  sal jou bystaan tot die laaste noot jua! altyd!!!",3,0,0,0,0
"rt : elke nou en dan check ek op, op die mense wat ek haat. net om te kyk of ek hulle nogsteeds haat.

ek doen.",3,0,0,0,0
"rt : kuchh log ek roz jo bichad jate hain
woh hazaron ke aane se milte nahin.  ",2,0,1,0,0
"eu to carente e preciso de carinho, ek",3,0,0,0,0
"rt : india ke sabse bade super stars apna ego bhula ke ek dusre ke gale mil rahe hai..
#to humari akkad kiss baat ki??
#srkianssal…",1,0,0,0,0
ek sal hoog kan raak op diit wat ons het,3,0,0,0,0
"mmkn so2al anty 4ayfa nafsel le? fakra nafsk moza wal... — moza wala msh moza mal omk/ek y3ny 
[you like me on m... ",3,0,1,0,0
 en ek movil?,3,0,0,0,0
 bhaiya life m koi saat dene vala nhi h isiliye ek umid s apko bolta hu.shayed kapil bhaiya life m thoda saat dede plz help me,2,0,0,0,0
"  
hahaha haan koi pagal hi hoga jo kare ga.",1,0,0,0,1
"rt : aankhon ko bhi le dooba ye dil ka
pagal-pan... aate jaate jo milta hai
tum-sa hi lagta hai...  ",1,0,0,0,0
poo maalaiye - pagal nilavu,3,0,0,0,0
